Rank,Title,IsoAbbr,H index,SJR,Country,Region,Coverage,search
3108,Transactions of the American Fisheries Society,Trans Am Fish Soc,86,"0,696",United States,Northern America,"1872-1876, 1878-1894, 1896-1908, 1910-1935, 1937-1943, 1945, 1947-1955, 1957-2020",Transactions of the American Fisheries Society[Journal]
3119,Cryobiology,Cryobiology,85,"0,592",United States,Northern America,1964-2020,Cryobiology[Journal]
3140,Journal of the American Heart Association,J Am Heart Assoc,85,"2,494",United Kingdom,Western Europe,2012-2020,Journal of the American Heart Association[Journal]
3141,Journal of the National Cancer Institute. Monographs,J Natl Cancer Inst Monogr,85,"1,014",United States,Northern America,"1992-2001, 2003-2008, 2010-2015, 2017, 2019-2020",Journal of the National Cancer Institute. Monographs[Journal]
3165,Sustainability,Sustainability,85,"0,612",Switzerland,Western Europe,2009-2020,Sustainability[Journal]
16973,Sustainability,Sustainability,14,"0,234",United States,Northern America,2009-2020,Sustainability[Journal]
3167,Vacuum,Vacuum,85,"0,738",United Kingdom,Western Europe,"1951-1956, 1959-2020",Vacuum[Journal]
3169,Viruses,Viruses,85,"1,828",Switzerland,Western Europe,2009-2020,Viruses[Journal]
3174,Botany,Botany,84,"0,458",Canada,Northern America,2008-2020,Botany[Journal]
3192,Joule,Joule,84,"12,532",United States,Northern America,2017-2020,Joule[Journal]
3206,Journal of the Franklin Institute,J Franklin Inst,84,"1,005",United Kingdom,Western Europe,1826-2020,Journal of the Franklin Institute[Journal]
3213,Neonatology,Neonatology,84,"1,399",Switzerland,Western Europe,"1959-1997, 2007-2020",Neonatology[Journal]
3239,Apidologie,Apidologie,83,"0,811",United States,Northern America,"1977, 1985, 1989-2020",Apidologie[Journal]
3253,Dysphagia,Dysphagia,83,"0,989",United States,Northern America,1986-2020,Dysphagia[Journal]
3263,"Journal of comparative psychology (Washington, D.C. : 1983)",J Comp Psychol,83,"0,871",United States,Northern America,1983-2020,"Journal of comparative psychology (Washington, D.C. : 1983)[Journal]"
3279,Neuropsychobiology,Neuropsychobiology,83,"0,710",Switzerland,Western Europe,"1975-1990, 1992-2020",Neuropsychobiology[Journal]
3282,Personal Relationships,Pers Relatsh,83,"0,810",United Kingdom,Western Europe,1994-2020,Personal Relationships[Journal]
3374,Bioelectromagnetics,Bioelectromagnetics,81,"0,435",United States,Northern America,1980-2020,Bioelectromagnetics[Journal]
3391,Endocrine,Endocrine,81,"1,002",United States,Northern America,1993-2020,Endocrine[Journal]
3406,Journal of the Royal Society of Medicine,J R Soc Med,81,"0,380",United Kingdom,Western Europe,"1908-1918, 1920-1922, 1924-2020",Journal of the Royal Society of Medicine[Journal]
3427,Taxon,Taxon,81,"0,819",Austria,Western Europe,"1970-1971, 1982-1984, 1989-2020",Taxon[Journal]
3447,Biofabrication,Biofabrication,80,"2,328",United Kingdom,Western Europe,2009-2020,Biofabrication[Journal]
3451,Comprehensive Physiology,Compr Physiol,80,"3,207",United States,Northern America,2011-2020,Comprehensive Physiology[Journal]
3482,Journal of the Taiwan Institute of Chemical Engineers,J Taiwan Inst Chem Eng,80,"0,991",Taiwan,Asiatic Region,2009-2020,Journal of the Taiwan Institute of Chemical Engineers[Journal]
3484,Landslides,Landslides,80,"1,910",Germany,Western Europe,2004-2020,Landslides[Journal]
3503,Circulation. Genomic and precision medicine,Circ Genom Precis Med,79,"2,801",United States,Northern America,2018-2020,Circulation. Genomic and precision medicine[Journal]
3512,Fisheries,Fisheries (Bethesda),79,"0,725",United States,Northern America,1976-2020,Fisheries[Journal]
3515,Futures,Futures,79,"1,210",United Kingdom,Western Europe,1968-2020,Futures[Journal]
3517,Helicobacter,Helicobacter,79,"1,206",United Kingdom,Western Europe,1996-2020,Helicobacter[Journal]
3545,Metrologia,Metrologia,79,"0,637",United Kingdom,Western Europe,1965-2020,Metrologia[Journal]
3551,Radiocarbon,Radiocarbon,79,"1,455",United States,Northern America,"1980, 1982, 1989-2020",Radiocarbon[Journal]
3563,Algorithmica,Algorithmica,78,"0,647",United States,Northern America,1986-2020,Algorithmica[Journal]
3578,Chem,Chem,78,"7,057",United States,Northern America,2016-2020,Chem[Journal]
3617,Journal of the Association for Information Systems,J Assoc Inf Syst,78,"1,877",United States,Northern America,2007-2020,Journal of the Association for Information Systems[Journal]
3619,mAbs,MAbs,78,"2,078",United States,Northern America,2009-2020,mAbs[Journal]
3621,Marine Mammal Science,Mar Mamm Sci,78,"0,723",United States,Northern America,1985-2020,Marine Mammal Science[Journal]
3624,Microbiome,Microbiome,78,"5,297",United Kingdom,Western Europe,2013-2020,Microbiome[Journal]
3632,Toxins,Toxins (Basel),78,"1,047",Switzerland,Western Europe,2009-2020,Toxins[Journal]
3633,Trials,Trials,78,"1,067",United Kingdom,Western Europe,2006-2020,Trials[Journal]
3634,Vibrational Spectroscopy,Vib Spectrosc,78,"0,424",Netherlands,Western Europe,1990-2020,Vibrational Spectroscopy[Journal]
3637,Anaerobe,Anaerobe,77,"1,072",United States,Northern America,1995-2020,Anaerobe[Journal]
3645,Behaviour,Behaviour,77,"0,737",Netherlands,Western Europe,"1948, 1950-1951, 1953, 1955-1958, 1960-2020",Behaviour[Journal]
3646,Biodegradation,Biodegradation,77,"0,842",Netherlands,Western Europe,1990-2020,Biodegradation[Journal]
3654,Chirality,Chirality,77,"0,430",United States,Northern America,1989-2020,Chirality[Journal]
3701,Palaios,Palaios,77,"0,850",United States,Northern America,1986-2020,Palaios[Journal]
3702,Pharmacopsychiatry,Pharmacopsychiatry,77,"1,174",Germany,Western Europe,1984-2020,Pharmacopsychiatry[Journal]
3704,Preventing chronic disease,Prev Chronic Dis,77,"1,171",United States,Northern America,2004-2020,Preventing chronic disease[Journal]
3714,Statistica Sinica,Stat Sin,77,"1,240",Taiwan,Asiatic Region,1996-2020,Statistica Sinica[Journal]
3729,Antiquity,Antiquity,76,"0,961",United Kingdom,Western Europe,1927-2020,Antiquity[Journal]
3737,Cancers,Cancers (Basel),76,"1,818",Switzerland,Western Europe,2010-2020,Cancers[Journal]
3781,Language,Language (Baltim),76,"1,115",United States,Northern America,1996-2020,Language[Journal]
3792,Psychometrika,Psychometrika,76,"3,375",United States,Northern America,1936-2020,Psychometrika[Journal]
3834,Digestion,Digestion,75,"0,882",Switzerland,Western Europe,"1896, 1898-2020",Digestion[Journal]
3844,Holzforschung,Holzforschung,75,"0,518",Germany,Western Europe,1947-2020,Holzforschung[Journal]
3865,Journal of diabetes science and technology,J Diabetes Sci Technol,75,"1,039",United States,Northern America,2007-2020,Journal of diabetes science and technology[Journal]
3884,Protist,Protist,75,"0,922",Germany,Western Europe,1998-2020,Protist[Journal]
3901,Biogerontology,Biogerontology,74,"1,227",Netherlands,Western Europe,2000-2020,Biogerontology[Journal]
3905,Boreas,Boreas,74,"0,950",United States,Northern America,1972-2020,Boreas[Journal]
3926,Infection,Infection,74,"0,983",Germany,Western Europe,1973-2020,Infection[Journal]
3929,Journal - American Water Works Association,J Am Water Works Assoc,74,"0,466",United States,Northern America,"1946, 1969-2020",Journal - American Water Works Association[Journal]
3953,Protoplasma,Protoplasma,74,"0,836",Austria,Western Europe,"1926-1943, 1949-2020",Protoplasma[Journal]
4032,Journal of the American Academy of Audiology,J Am Acad Audiol,73,"0,794",United States,Northern America,1990-2020,Journal of the American Academy of Audiology[Journal]
4037,Mycopathologia,Mycopathologia,73,"0,744",Netherlands,Western Europe,"1938-1941, 1943, 1948-1950, 1959-1962, 1973-2020",Mycopathologia[Journal]
4037,Mycopathologia,Mycopathologia,73,"0,744",Netherlands,Western Europe,"1938-1941, 1943, 1948-1950, 1959-1962, 1973-2020",Mycopathologia[Journal]
4042,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,Pac Symp Biocomput,73,"0,940",Singapore,Asiatic Region,1996-2020,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing[Journal]
4045,Polymers,Polymers (Basel),73,"0,770",Switzerland,Western Europe,"1969, 2009-2020",Polymers[Journal]
4067,Annals of the Entomological Society of America,Ann Entomol Soc Am,72,"0,671",United States,Northern America,"1965-1970, 1973-1978, 1986, 1988, 1993-2020",Annals of the Entomological Society of America[Journal]
4091,Ethics,Ethics,72,"1,135",United States,Northern America,"1973-1990, 1992-1993, 1996-2020",Ethics[Journal]
4097,Geobiology,Geobiology,72,"1,859",United Kingdom,Western Europe,2003-2020,Geobiology[Journal]
4100,Hernia : the journal of hernias and abdominal wall surgery,Hernia,72,"1,337",France,Western Europe,1999-2020,Hernia : the journal of hernias and abdominal wall surgery[Journal]
4127,NCHS data brief,NCHS Data Brief,72,"8,856",United States,Northern America,2007-2020,NCHS data brief[Journal]
4128,Nephron,Nephron,72,"0,951",Switzerland,Western Europe,"1964-2004, 2015-2020",Nephron[Journal]
4141,Social Work,Social Work (Stellenbosch),72,"0,739",United States,Northern America,1956-2020,Social Work[Journal]
4146,Aging clinical and experimental research,Aging Clin Exp Res,71,"0,911",Germany,Western Europe,1989-2020,Aging clinical and experimental research[Journal]
4149,Autoimmunity,Autoimmunity,71,"0,623",United Kingdom,Western Europe,1988-2020,Autoimmunity[Journal]
4174,Geothermics,Geothermics,71,"1,329",United Kingdom,Western Europe,"1970, 1972-1975, 1977-2021",Geothermics[Journal]
4185,Journal of experimental psychology. Animal learning and cognition,J Exp Psychol Anim Learn Cogn,71,"1,041",United States,Northern America,2014-2020,Journal of experimental psychology. Animal learning and cognition[Journal]
4192,Journal of the National Medical Association,J Natl Med Assoc,71,"0,333",United States,Northern America,1946-2020,Journal of the National Medical Association[Journal]
4213,Stem cells translational medicine,Stem Cells Transl Med,71,"1,781",United States,Northern America,2012-2020,Stem cells translational medicine[Journal]
4216,Wiley interdisciplinary reviews. RNA,Wiley Interdiscip Rev RNA,71,"5,225",United States,Northern America,2010-2020,Wiley interdisciplinary reviews. RNA[Journal]
4234,Disasters,Disasters,70,"0,744",United Kingdom,Western Europe,1977-2020,Disasters[Journal]
4261,Journal of the Brazilian Chemical Society,J Braz Chem Soc,70,"0,337",Brazil,Latin America,"1990, 1996-2020",Journal of the Brazilian Chemical Society[Journal]
4272,PeerJ,PeerJ,70,"0,927",United States,Northern America,2013-2020,PeerJ[Journal]
4291,Aerospace medicine and human performance,Aerosp Med Hum Perform,69,"0,315",United States,Northern America,2015-2020,Aerospace medicine and human performance[Journal]
4344,Mycoses,Mycoses,69,"1,130",United Kingdom,Western Europe,1957-2020,Mycoses[Journal]
4345,Neuropeptides,Neuropeptides,69,"0,830",United States,Northern America,1980-2020,Neuropeptides[Journal]
4350,Pediatric obesity,Pediatr Obes,69,"1,226",United Kingdom,Western Europe,2012-2020,Pediatric obesity[Journal]
4352,Pedobiologia,Pedobiologia (Jena),69,"0,820",Germany,Western Europe,"1977, 1979-2020",Pedobiologia[Journal]
4373,Annalen der Physik,Ann Phys,68,"1,009",Germany,Western Europe,"1799-1943, 1947-1950, 1952, 1957-2020",Annalen der Physik[Journal]
4374,Annual review of food science and technology,Annu Rev Food Sci Technol,68,"2,692",United States,Northern America,2010-2020,Annual review of food science and technology[Journal]
4376,Aphasiology,Aphasiology,68,"0,767",United Kingdom,Western Europe,1987-2020,Aphasiology[Journal]
4449,Photosynthetica,Photosynthetica,68,"0,755",Czech Republic,Eastern Europe,"1979, 1981, 1983, 1985, 1988-1989, 1993-2020",Photosynthetica[Journal]
4466,Virulence,Virulence,68,"1,928",United States,Northern America,2010-2020,Virulence[Journal]
4482,Archaeometry,Archaeometry,67,"0,716",United Kingdom,Western Europe,"1958-1967, 1969-2020",Archaeometry[Journal]
4485,Biorheology,Biorheology,67,"0,503",Netherlands,Western Europe,1965-2020,Biorheology[Journal]
4491,Chromatographia,Chromatographia,67,"0,427",Germany,Western Europe,1968-2020,Chromatographia[Journal]
4495,Copeia,Copeia,67,"0,469",United States,Northern America,"1980, 1982, 1986, 1992-2020",Copeia[Journal]
4546,Neuropediatrics,Neuropediatrics,67,"0,656",Germany,Western Europe,1980-2020,Neuropediatrics[Journal]
4550,Pituitary,Pituitary,67,"1,056",Netherlands,Western Europe,1998-2020,Pituitary[Journal]
4551,Platelets,Platelets,67,"0,939",United Kingdom,Western Europe,1990-2020,Platelets[Journal]
4624,Midwifery,Midwifery,66,"0,899",United States,Northern America,1985-2020,Midwifery[Journal]
4629,Optik,Optik (Stuttg),66,"0,482",Germany,Western Europe,"1946, 1968-1988, 1993-2020",Optik[Journal]
4630,Orthopedics,Orthopedics,66,"0,664",United States,Northern America,1978-2020,Orthopedics[Journal]
4653,Angiology,Angiology,65,"0,740",United States,Northern America,1950-2020,Angiology[Journal]
4666,Economica,Economica,65,"1,532",United Kingdom,Western Europe,"1937, 1958, 1962, 1974-1976, 1978, 1980-2020",Economica[Journal]
4701,Journal of the American Animal Hospital Association,J Am Anim Hosp Assoc,65,"0,435",United States,Northern America,1973-2020,Journal of the American Animal Hospital Association[Journal]
4702,Journal of wound care,J Wound Care,65,"0,520",United Kingdom,Western Europe,1995-2020,Journal of wound care[Journal]
4709,Neurocase,Neurocase,65,"0,369",United Kingdom,Western Europe,1995-2020,Neurocase[Journal]
4711,NeuroRehabilitation,NeuroRehabilitation,65,"0,611",Netherlands,Western Europe,1991-2020,NeuroRehabilitation[Journal]
4717,Procedia CIRP,Procedia CIRP,65,"0,683",Netherlands,Western Europe,2012-2020,Procedia CIRP[Journal]
4720,Proceedings of the London Mathematical Society,Proc Lond Math Soc,65,"1,899",United Kingdom,Western Europe,"1865-1866, 1869, 1871, 1873-1902, 1904-1905, 1907-1915, 1917-1918, 1920-1940, 1942, 1945-1946, 1948-1978, 1980-2020",Proceedings of the London Mathematical Society[Journal]
4730,Signs,Signs (Chic),65,"0,976",United States,Northern America,"1979, 1985-1987, 1989, 1991, 1993, 1996, 1998-2020",Signs[Journal]
4734,Synthese,Synthese,65,"0,851",Netherlands,Western Europe,"1936-1939, 1946-1949, 1955-1956, 1959-1963, 1966-2020",Synthese[Journal]
4782,Heterocycles,Heterocycles,64,"0,242",Japan,Asiatic Region,1983-2020,Heterocycles[Journal]
4784,Interfaces,Interfaces (Providence),64,"0,662",United States,Northern America,"1983-1988, 1996-2020",Interfaces[Journal]
4804,Journal of the American Pharmacists Association : JAPhA,J Am Pharm Assoc (2003),64,"0,653",United States,Northern America,2003-2020,Journal of the American Pharmacists Association : JAPhA[Journal]
4814,Pathology,Pathology,64,"1,335",United States,Northern America,"1900, 1969-2020",Pathology[Journal]
4820,Psicothema,Psicothema,64,"1,308",Spain,Western Europe,1996-2020,Psicothema[Journal]
4824,Robotica,Robotica,64,"0,476",United Kingdom,Western Europe,1983-2020,Robotica[Journal]
4828,Scientific data,Sci Data,64,"2,565",United Kingdom,Western Europe,2014-2020,Scientific data[Journal]
4840,Advances in dental research,Adv Dent Res,63,"1,198",United States,Northern America,"1987-2003, 2005-2006, 2008-2016, 2018-2019",Advances in dental research[Journal]
4845,Annals of the Royal College of Surgeons of England,Ann R Coll Surg Engl,63,"0,390",United Kingdom,Western Europe,1947-2020,Annals of the Royal College of Surgeons of England[Journal]
4849,Biomicrofluidics,Biomicrofluidics,63,"0,634",United States,Northern America,2007-2020,Biomicrofluidics[Journal]
4851,Cardiology,Cardiology,63,"0,547",Switzerland,Western Europe,1937-2020,Cardiology[Journal]
4863,Die Pharmazie,Pharmazie,63,"0,351",Germany,Western Europe,1947-2020,Die Pharmazie[Journal]
4867,EBioMedicine,EBioMedicine,63,"2,596",Netherlands,Western Europe,2014-2020,EBioMedicine[Journal]
4879,GeroScience,Geroscience,63,"1,883",Switzerland,Western Europe,2017-2020,GeroScience[Journal]
4919,Microsurgery,Microsurgery,63,"1,031",United States,Northern America,1979-2020,Microsurgery[Journal]
4922,Monographs of the Society for Research in Child Development,Monogr Soc Res Child Dev,63,"0,618",United Kingdom,Western Europe,"1961-1982, 1984-2020",Monographs of the Society for Research in Child Development[Journal]
4928,Palaeontology,Palaeontology,63,"1,690",United Kingdom,Western Europe,"1979-1985, 1987, 1989-1994, 1996-2020",Palaeontology[Journal]
4939,Psychopathology,Psychopathology,63,"0,867",Switzerland,Western Europe,1968-2020,Psychopathology[Journal]
4975,Cytotechnology,Cytotechnology,62,"0,488",Netherlands,Western Europe,1987-2020,Cytotechnology[Journal]
4976,Database : the journal of biological databases and curation,Database (Oxford),62,"1,406",United Kingdom,Western Europe,2009-2020,Database : the journal of biological databases and curation[Journal]
5012,Journal of the International AIDS Society,J Int AIDS Soc,62,"2,724",United States,Northern America,2009-2020,Journal of the International AIDS Society[Journal]
5013,Journal of the London Mathematical Society,J Lond Math Soc,62,"1,441",United Kingdom,Western Europe,"1926-1969, 1972-1978, 1980-2020",Journal of the London Mathematical Society[Journal]
5050,Archiv der Pharmazie,Arch Pharm (Weinheim),61,"0,468",Germany,Western Europe,"1822-1831, 1835-1933, 1937-1938, 1940, 1943-1944, 1950-2020",Archiv der Pharmazie[Journal]
5057,ChemPlusChem,Chempluschem,61,"0,801",Germany,Western Europe,2012-2020,ChemPlusChem[Journal]
5058,Clinics,Clinics,61,"0,618",Brazil,Latin America,"1945-1946, 2005-2020",Clinics[Journal]
5060,Complexity,Complexity,61,"0,447",Egypt,Africa/Middle East,1995-2020,Complexity[Journal]
5064,Cryogenics,Cryogenics (Guildf),61,"0,669",United Kingdom,Western Europe,1960-2020,Cryogenics[Journal]
5083,Intervirology,Intervirology,61,"0,641",Switzerland,Western Europe,1973-2020,Intervirology[Journal]
5107,Journal of the American Mosquito Control Association,J Am Mosq Control Assoc,61,"0,424",United States,Northern America,1985-2020,Journal of the American Mosquito Control Association[Journal]
5112,Nanophotonics,Nanophotonics,61,"2,717",Germany,Western Europe,2012-2020,Nanophotonics[Journal]
5115,Neurogenetics,Neurogenetics,61,"0,934",Germany,Western Europe,1997-2020,Neurogenetics[Journal]
5125,Pedosphere,Pedosphere,61,"1,084",China,Asiatic Region,1996-2020,Pedosphere[Journal]
5145,Transactions of the American Ophthalmological Society,Trans Am Ophthalmol Soc,61,"0,723",United States,Northern America,"1946, 1949, 1951-1958, 1960-1962, 1964-2018",Transactions of the American Ophthalmological Society[Journal]
5147,Urolithiasis,Urolithiasis,61,"0,831",Germany,Western Europe,2013-2020,Urolithiasis[Journal]
5150,Xenotransplantation,Xenotransplantation,61,"1,052",United Kingdom,Western Europe,1994-2020,Xenotransplantation[Journal]
5161,Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis,Amyloid,60,"1,861",United Kingdom,Western Europe,1994-2020,Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis[Journal]
5164,"Annals of the Academy of Medicine, Singapore",Ann Acad Med Singap,60,"0,299",Singapore,Asiatic Region,1973-2020,"Annals of the Academy of Medicine, Singapore[Journal]"
5192,Epigenomics,Epigenomics,60,"1,265",United Kingdom,Western Europe,2009-2020,Epigenomics[Journal]
5196,F1000Research,F1000Res,60,"1,099",United Kingdom,Western Europe,2012-2020,F1000Research[Journal]
5234,Journal of the World Aquaculture Society,J World Aquac Soc,60,"0,655",United States,Northern America,1986-2020,Journal of the World Aquaculture Society[Journal]
5253,Plasmid,Plasmid,60,"1,253",United States,Northern America,1977-2020,Plasmid[Journal]
5275,Andrologia,Andrologia,59,"0,633",United Kingdom,Western Europe,1969-2020,Andrologia[Journal]
5287,Bulletin of the Korean Chemical Society,Bull Korean Chem Soc,59,"0,237",United States,Northern America,1996-2020,Bulletin of the Korean Chemical Society[Journal]
5292,ChemElectroChem,ChemElectroChem,59,"1,182",United Kingdom,Western Europe,2014-2020,ChemElectroChem[Journal]
5306,Inflammation,Inflammation,59,"1,027",United States,Northern America,"1975-2005, 2007-2020",Inflammation[Journal]
5338,Journal of the Canadian Dental Association,J Can Dent Assoc (Tor),59,"0,321",Canada,Northern America,"1946-1949, 1979-2020",Journal of the Canadian Dental Association[Journal]
5347,Neuroinformatics,Neuroinformatics,59,"0,929",United States,Northern America,2003-2020,Neuroinformatics[Journal]
5354,Pharmacology,Pharmacology,59,"0,510",Switzerland,Western Europe,1959-2020,Pharmacology[Journal]
5355,Phi Delta Kappan,Phi Delta Kappan,59,"0,534",United States,Northern America,"1981, 1984, 1993-1994, 1996-2020",Phi Delta Kappan[Journal]
5362,Sexualities,Sexualities,59,"0,706",United Kingdom,Western Europe,1998-2020,Sexualities[Journal]
5380,Anais da Academia Brasileira de Ciencias,An Acad Bras Cienc,58,"0,386",Brazil,Latin America,"1945-1946, 1949, 1970-1992, 1994-2020",Anais da Academia Brasileira de Ciencias[Journal]
5387,Bioanalysis,Bioanalysis,58,"0,566",United Kingdom,Western Europe,2009-2020,Bioanalysis[Journal]
5405,EcoHealth,Ecohealth,58,"0,844",United States,Northern America,2004-2020,EcoHealth[Journal]
5409,Environmetrics,Environmetrics,58,"0,680",United Kingdom,Western Europe,1990-2020,Environmetrics[Journal]
5445,Journal of the American Podiatric Medical Association,J Am Podiatr Med Assoc,58,"0,295",United States,Northern America,1985-2020,Journal of the American Podiatric Medical Association[Journal]
5447,Journal of the Medical Library Association : JMLA,J Med Libr Assoc,58,"1,102",United States,Northern America,1999-2020,Journal of the Medical Library Association : JMLA[Journal]
5490,Zeitschrift fur Gastroenterologie,Z Gastroenterol,58,"0,316",Germany,Western Europe,1971-2020,Zeitschrift fur Gastroenterologie[Journal]
5511,Cancer cytopathology,Cancer Cytopathol,57,"1,290",United States,Northern America,2008-2020,Cancer cytopathology[Journal]
5565,Ionics,Ionics (Kiel),57,"0,520",Germany,Western Europe,1995-2020,Ionics[Journal]
5590,Lung,Lung,57,"0,752",United States,Northern America,"1959, 1964, 1976-2020",Lung[Journal]
5619,Rhinology,Rhinology,57,"1,275",Netherlands,Western Europe,1973-2020,Rhinology[Journal]
5621,School Psychology International,Sch Psychol Int,57,"0,704",United Kingdom,Western Europe,1979-2020,School Psychology International[Journal]
5633,Vascular,Vascular,57,"0,535",United Kingdom,Western Europe,1993-2020,Vascular[Journal]
5638,Acta neuropathologica communications,Acta Neuropathol Commun,56,"3,131",United Kingdom,Western Europe,2013-2020,Acta neuropathologica communications[Journal]
5665,Facies,Facies,56,"0,647",Germany,Western Europe,1979-2020,Facies[Journal]
5666,Ferroelectrics,Ferroelectrics,56,"0,238",United Kingdom,Western Europe,1970-2020,Ferroelectrics[Journal]
5680,HortTechnology,Horttechnology,56,"0,402",United States,Northern America,1993-2020,HortTechnology[Journal]
5691,Journal fur Ornithologie,,56,"0,685",Germany,Western Europe,"1853-1944, 1951-2020",Journal fur Ornithologie[Journal]
5699,Journal of Cancer,J Cancer,56,"1,190",Australia,Pacific Region,2010-2020,Journal of Cancer[Journal]
5721,Mindfulness,Mindfulness (N Y),56,"1,509",Germany,Western Europe,2010-2020,Mindfulness[Journal]
5734,Pesquisa Agropecuaria Brasileira,Pesqui Agropecu Bras,56,"0,427",Brazil,Latin America,"1978, 1983-1984, 1986-1987, 1996-2020",Pesquisa Agropecuaria Brasileira[Journal]
5736,Physiotherapy,Physiotherapy,56,"0,961",United Kingdom,Western Europe,1945-2020,Physiotherapy[Journal]
5767,Bioethics,Bioethics,55,"0,494",United Kingdom,Western Europe,1987-2020,Bioethics[Journal]
5775,Chimia,Chimia (Aarau),55,"0,387",Switzerland,Western Europe,"1947-1949, 1960-1961, 1973-1986, 1996-2020",Chimia[Journal]
5781,Crisis,Crisis,55,"0,930",United States,Northern America,1985-2020,Crisis[Journal]
5783,Daedalus,Daedalus,55,"0,340",United States,Northern America,"1965, 1968-1989, 1992-1996, 1998-2020",Daedalus[Journal]
5796,GeoInformatica,Geoinformatica,55,"0,396",Netherlands,Western Europe,1997-2020,GeoInformatica[Journal]
5884,Chemotherapy,Chemotherapy,54,"0,539",Switzerland,Western Europe,1960-2020,Chemotherapy[Journal]
5884,Chemotherapy,Chemotherapy (Los Angel),54,"0,539",Switzerland,Western Europe,1960-2020,Chemotherapy[Journal]
5894,Discovery medicine,Discov Med,54,"0,913",United States,Northern America,"2006-2007, 2009-2018",Discovery medicine[Journal]
5910,Gerodontology,Gerodontology,54,"0,700",Denmark,Western Europe,"1982-1990, 1993-2020",Gerodontology[Journal]
5911,GigaScience,Gigascience,54,"2,947",United Kingdom,Western Europe,2012-2020,GigaScience[Journal]
6029,Cutis,Cutis,53,"0,289",United States,Northern America,"1970, 1973-2020",Cutis[Journal]
6030,Democratization,Democratization,53,"1,289",United Kingdom,Western Europe,1994-2020,Democratization[Journal]
6086,Mobilities,Mobilities,53,"1,055",United Kingdom,Western Europe,2006-2020,Mobilities[Journal]
6120,Annales Henri Poincare,Ann Henri Poincare,52,"1,119",Switzerland,Western Europe,2000-2020,Annales Henri Poincare[Journal]
6127,Biomolecules,Biomolecules,52,"1,125",Switzerland,Western Europe,2011-2020,Biomolecules[Journal]
6167,Geopolitics,Geopolitics,52,"0,810",United Kingdom,Western Europe,"1986, 1998-2020",Geopolitics[Journal]
6209,Journal of the Society for Information Display,J Soc Inf Disp,52,"0,578",United States,Northern America,1993-2020,Journal of the Society for Information Display[Journal]
6215,"Microscopy (Oxford, England)",Microscopy (Oxf),52,"0,545",United Kingdom,Western Europe,"1953-1958, 1960-1975, 1977-1981, 1983-1987, 1989-1994, 2013-2020","Microscopy (Oxford, England)[Journal]"
6227,Revista da Sociedade Brasileira de Medicina Tropical,Rev Soc Bras Med Trop,52,"0,503",Brazil,Latin America,"1972-1976, 1986-2020",Revista da Sociedade Brasileira de Medicina Tropical[Journal]
6233,SpringerPlus,Springerplus,52,"0,125",Germany,Western Europe,2012-2017,SpringerPlus[Journal]
6237,Tumori,Tumori,52,"0,453",Italy,Western Europe,1946-2020,Tumori[Journal]
6250,Anthrozoos,Anthrozoos,51,"0,502",United Kingdom,Western Europe,"1990, 1992-1993, 1996-2020",Anthrozoos[Journal]
6265,Chemoecology,Chemoecology,51,"0,512",Switzerland,Western Europe,"1990-1994, 1996, 1998-2020",Chemoecology[Journal]
6277,Der Unfallchirurg,Unfallchirurg,51,"0,331",Germany,Western Europe,1985-2020,Der Unfallchirurg[Journal]
6289,Genes,Genes (Basel),51,"1,337",Switzerland,Western Europe,2010-2020,Genes[Journal]
6293,Herz,Herz,51,"0,374",Germany,Western Europe,1978-2020,Herz[Journal]
6341,Microbiology spectrum,Microbiol Spectr,51,"2,502",United States,Northern America,2013-2020,Microbiology spectrum[Journal]
6363,Science immunology,Sci Immunol,51,"8,830",United States,Northern America,2016-2020,Science immunology[Journal]
6391,Archives of endocrinology and metabolism,Arch Endocrinol Metab,50,"0,582",Brazil,Latin America,2015-2020,Archives of endocrinology and metabolism[Journal]
6421,Environment,Environment,50,"0,468",United States,Northern America,1969-2020,Environment[Journal]
6428,Hereditas,Hereditas,50,"0,819",United Kingdom,Western Europe,1920-2020,Hereditas[Journal]
6429,Herpetologica,Herpetologica,50,"0,562",United States,Northern America,1981-2020,Herpetologica[Journal]
6434,Inflammopharmacology,Inflammopharmacology,50,"0,945",Switzerland,Western Europe,1991-2020,Inflammopharmacology[Journal]
6442,JMIR mHealth and uHealth,JMIR Mhealth Uhealth,50,"1,356",Canada,Northern America,2017-2020,JMIR mHealth and uHealth[Journal]
6472,Journal of oral science,J Oral Sci,50,"0,500",Japan,Asiatic Region,1998-2020,Journal of oral science[Journal]
6492,Multisensory research,Multisens Res,50,"0,521",Netherlands,Western Europe,2013-2020,Multisensory research[Journal]
6494,Neoplasma,Neoplasma,50,"0,628",Slovakia,Eastern Europe,1957-2020,Neoplasma[Journal]
6501,Pharmaceutics,Pharmaceutics,50,"1,054",Switzerland,Western Europe,2010-2020,Pharmaceutics[Journal]
6519,Symmetry,Symmetry (Basel),50,"0,385",Switzerland,Western Europe,2009-2020,Symmetry[Journal]
6532,Aerobiologia,Aerobiologia (Bologna),49,"0,663",Netherlands,Western Europe,1985-2020,Aerobiologia[Journal]
